series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,176,13.784277674972087,12.303966376628372,15.445735396657918,11.771996510376715,16.09620895747566
gurkor,177,13.778366789445705,12.277269712367252,15.475361146932274,11.75006635943264,16.104165894640385
gurkor,178,13.773207537124389,12.266373986315752,15.482583966689068,11.738966767607781,16.136531935437386
gurkor,179,13.778801630882821,12.286961868628392,15.488001489270692,11.73480969766049,16.112391224193473
gurkor,180,13.784657022739871,12.270197292242855,15.509861144781944,11.705033485478943,16.16044917567013
gurkor,181,13.785602598455391,12.248392131306128,15.519217601643568,11.69033702774857,16.21778237471074
gurkor,182,13.77914755857822,12.249965050524484,15.544577735772759,11.675964108078286,16.219747603371154
gurkor,183,13.778835443786274,12.23095186056686,15.548356185305993,11.691518736512457,16.19275061901421
gurkor,184,13.776787247690631,12.219550084921282,15.581871242822809,11.687579753579508,16.239887101562665
gurkor,185,13.782262204955796,12.224730374774893,15.565504768239158,11.65702322299457,16.244042406889356
gurkor,186,13.778405212904762,12.202420090412833,15.604753640228658,11.671259009913506,16.29945602422083
gurkor,187,13.768806378325245,12.212973393018059,15.607514040265235,11.638561729422952,16.262489732224505
gurkor,188,13.778031730588657,12.192640234590128,15.597254680570309,11.630255106717366,16.33698662576963
gurkor,189,13.767898382131545,12.17825790640265,15.596026183272194,11.644944252603848,16.340493057229192
gurkor,190,13.776704550090734,12.177078159287413,15.609339828115678,11.626455094921784,16.372421183415007
gurkor,191,13.775764765324372,12.17650441737794,15.63326907516914,11.586860822483297,16.413846852723687
gurkor,192,13.779680940910758,12.162524651046109,15.644895925058961,11.547943601540055,16.431102375859034
gurkor,193,13.78514694303863,12.142273058388131,15.660628768690124,11.590949284405072,16.41580416104918
gurkor,194,13.77568095277345,12.141231121511316,15.651713894759949,11.56110348300015,16.43241193274868
gurkor,195,13.779793666008153,12.141990548736096,15.661262727147058,11.548993142093497,16.424121493264902
gurkor,196,13.768930871958288,12.123360566077908,15.66290854670058,11.577764561066905,16.49236971619216
gurkor,197,13.776787858920859,12.109824218921839,15.687691550283239,11.54725620880162,16.470510891419515
gurkor,198,13.781456065597457,12.11613242133116,15.713257885507286,11.543524678067039,16.5137109309857
gurkor,199,13.772181652082676,12.105719871477335,15.720289777561652,11.503206281284529,16.517922544815814
gurkor,200,13.77616896283632,12.095224794061433,15.730428199272044,11.480167611962678,16.55003948232496
guitars,1,8.08496978995814,7.982253858895152,8.187223573852155,7.949758171635998,8.221879286678398
guitars,2,8.0824792700633,7.938175506348336,8.2349311024908,7.887285169162948,8.28432373703945
guitars,3,8.084912470979912,7.90338419178164,8.267750156240362,7.840710960797024,8.327121569984957
guitars,4,8.080665637348005,7.871804388960615,8.298505627371501,7.801119782501521,8.3680618111273
guitars,5,8.08412145467824,7.844400892051275,8.32886619478401,7.769761899413098,8.416410797810874
guitars,6,8.085095068349439,7.817755683233563,8.356262642554116,7.74028821294858,8.448710076261793
guitars,7,8.088215978250107,7.798106007507405,8.390779806639507,7.715044323823219,8.484916607542361
guitars,8,8.087889129751561,7.772750151715921,8.415959365344536,7.6829722852716715,8.524311765686294
guitars,9,8.08928303881498,7.748099498288958,8.436460518047584,7.644145163830684,8.551724989849976
guitars,10,8.090862701008295,7.727865813173853,8.453599454825175,7.615878929648929,8.57512346457679
